name,ra,dec,t_zero,period,width
105288_AD_CYCLE1807,249.157405223385,-1.17528676546167,2457821.863599537,9.566065405131436,5.6985277777777785
105288_AD_CYCLE1807_DC,249.157405223385,-1.17528676546167,2457821.7674305555,9.574227981854387,3.5416388888888886
105372_AD_CYCLE1802,222.953220548091,-31.247681735796,2457782.794791667,18.535593035609605,4.456027777777778
105372_AD_CYCLE1807_DC,222.953220548091,-31.247681735796,2457782.7885763887,33.36894629192581,4.478416666666666
105372_AD_CYCLE1807,222.953220548091,-31.247681735796,2457782.787384259,33.368250846634375,4.42375
105375_AD_CYCLE1802,242.517532444405,-0.879452115962227,2457818.563900463,5.9618869490703705,1.9942055555555558
105375_AD_CYCLE1802_DC,242.517532444405,-0.879452115962227,2457818.5632175924,5.96190137453309,2.193625
105375_AD_CYCLE1807_DC,242.517532444405,-0.879452115962227,2457818.50125,5.9642917951534145,1.9950027777777777
105375_AD_CYCLE1807,242.517532444405,-0.879452115962227,2457818.5018055555,5.964227023904768,1.9950027777777777
105420_AD_CYCLE1807,180.733007250304,-37.691661274285,2458103.6161921294,7.75170896939412,3.8916944444444446
105420_AD_CYCLE1807_DC,180.733007250304,-37.691661274285,2458103.657615741,7.748796309711447,3.889666666666666
105426_AD_CYCLE1807,180.780176536712,-36.2155446965239,2458098.296273148,1.2494900486247222,1.8142777777777774
105426_AD_CYCLE1807_DC,180.780176536712,-36.2155446965239,2458098.2966087963,1.2494890817327777,1.8142777777777774
105438_AD_CYCLE1807,315.76087476374,-33.5650932041951,2458201.9371875,1.2391078333073726,1.7992194444444445
105438_AD_CYCLE1807_DC,315.76087476374,-33.5650932041951,2458201.9372222223,1.2391089300063773,1.7992194444444445
105445_AD_CYCLE1807,311.570854236261,-32.6375193639615,2458199.283900463,8.544229024843483,4.7147499999999996
105445_AD_CYCLE1807_DC,311.570854236261,-32.6375193639615,2458199.286990741,8.54388753949647,4.286138888888889
105484_AD_CYCLE1807,307.41796261711,-39.0320790687108,2458204.262962963,2.8231191738430326,2.204402777777778
105484_AD_CYCLE1807_DC,307.41796261711,-39.0320790687108,2458204.262974537,2.8231222945442824,2.204402777777778
105485_AD_CYCLE1807,176.522660079854,-36.3088382503972,2458098.8350925925,1.0735002508659872,1.8338305555555554
105485_AD_CYCLE1807_DC,176.522660079854,-36.3088382503972,2458098.8349421294,1.0734990843918588,1.8338305555555554
105503_AD_CYCLE1807,175.001604272449,-36.3704841227511,2458108.4062037035,17.152009268800697,6.890138888888889
105503_AD_CYCLE1807_DC,175.001604272449,-36.3704841227511,2458102.3641666668,4.78677585217824,1.8170361111111109
105533_AD_CYCLE1807,311.95771615085,-31.2961897392815,2458198.5210763887,14.340099344469792,2.6566388888888888
105533_AD_CYCLE1807_DC,311.95771615085,-31.2961897392815,2458199.8502546297,2.9496578029752896,5.719833333333334
105553_AD_CYCLE1807,176.240231757674,-38.1398207215808,2458099.09087963,4.120271957955347,4.8175
105553_AD_CYCLE1807_DC,176.240231757674,-38.1398207215808,2458099.0892939814,4.120327126863079,4.8175
105559_AD_CYCLE1807,176.550814119613,-40.4823809465038,2458104.4732060186,20.655935236571064,4.537444444444444
105559_AD_CYCLE1807_DC,176.550814119613,-40.4823809465038,2458101.5713310186,7.12603051328051,2.415794444444445
